Problema,Respuesta
una actriz tiene 80 frutas y le dan 27 frutas ¿Cuantos hay al final ?,Al final hay 107 frutas
Cesar tiene 8 melocotones y Lucas tiene 9 ciruela ¿Cuantos frutas hay en total?,En total hay 17 frutas
hay 3 niños en clase y se van 39 ¿Cuantos niños quedan?,Quedan 36 niños
medico tiene 65 relojes y añade 84 relojes ¿Cuantos tienen entre los dos?,Entre los dos tienen 149 relojes
Cesar tiene 10 coco y Ana tiene 18 manzanas ¿Cuantos frutas hay en total?,En total hay 28 frutas
Un carpitero tiene 38 frutas y con una diferencia 36 frutas ¿Cuantos tiene al final?,Al final tiene 2 frutas
hay 72 tortillas en una mesa y se comen 63 ¿Cuantos tortillas quedan?,Quedan 9 tortillas
un albañil tiene 91 frutas y añade 98 frutas ¿Cuantos tienen entre los dos?,Entre los dos tienen 189 frutas
jose tiene 90 frutas y le dan 75 frutas ¿Cuantos hay en total?,En total hay 165 frutas
hay 56 pajaros en un arbol y se van volando 37 ¿Cuantos pajaros quedan?,Quedan 19 pajaros
un bombero tiene 34 piedras y le extraen 21 piedras ¿Cuanto queda?,Queda 13 piedras
hay 87 tortillas en una mesa y se comen 59 ¿Cuantos tortillas quedan?,Quedan 28 tortillas
Cesar tiene 75 coco y Lorena tiene 54 peras ¿Cuantos frutas hay en total?,En total hay 129 frutas
piloto tiene 94 frutas y resta 32 frutas ¿Cuanto queda?,Queda 62 frutas
Francisco tiene 42 melocotones y Pablo tiene 63 toronjas ¿Cuantos frutas hay en total?,En total hay 105 frutas
hay 78 niños en clase y se van 74 ¿Cuantos niños quedan?,Quedan 4 niños
Juan tiene 90 toronjas y Pablo tiene 44 toronjas ¿Cuantos frutas hay en total?,En total hay 134 frutas
un profesor tiene 57 carteras y excluye 48 carteras ¿Cuanto queda?,Queda 9 carteras
un perro tiene 18 moviles y le entregan 12 moviles ¿Cuantos tienen entre los dos?,Entre los dos tienen 30 moviles
un camarero tiene 55 lapices y le extraen 20 lapices ¿Cuantos le queda?,Le queda 35 lapices
un actor tiene 87 moviles y resta 21 moviles ¿Cuanto queda?,Queda 66 moviles
hay 32 niños en clase y se van 90 ¿Cuantos niños quedan?,Quedan 58 niños
hay 36 tortillas en una mesa y se comen 7 ¿Cuantos tortillas quedan?,Quedan 29 tortillas
hay 83 tortillas en una mesa y se comen 19 ¿Cuantos tortillas quedan?,Quedan 64 tortillas
profesor tiene 84 frutas y le quitan 60 frutas ¿Cuanto queda?,Queda 24 frutas
hay 91 niños en clase y se van 90 ¿Cuantos niños quedan?,Quedan 1 niños
Lucas tiene 50 balones de futbol y Celeste tiene 51 balones de voley ¿Cuantos balones hay en total?,En total hay 101 balones
hay 7 tortillas en una mesa y se comen 11 ¿Cuantos tortillas quedan?,Quedan 4 tortillas
Ana tiene 26 balones de rugby y Lorena tiene 54 balones de basquet ¿Cuantos balones hay en total?,En total hay 80 balones
paloma tiene 95 relojes y con una diferencia 3 relojes ¿Cuanto queda?,Queda 92 relojes
hay 94 pajaros en un arbol y se van volando 40 ¿Cuantos pajaros quedan?,Quedan 54 pajaros
un bombero tiene 96 moviles y le extraen 14 moviles ¿Cuantos le queda?,Le queda 82 moviles
Una azafata tiene 41 piedras y añade 45 piedras ¿Cuantos tienen entre los dos?,Entre los dos tienen 86 piedras
piloto tiene 74 teles y con una diferencia 19 teles ¿Cuantos tiene al final?,Al final tiene 55 teles
hay 73 niños en clase y se van 76 ¿Cuantos niños quedan?,Quedan 3 niños
hay 89 niños en clase y se van 70 ¿Cuantos niños quedan?,Quedan 19 niños
pablito  tiene 54 canicas y le dan 64 canicas ¿Cuantos hay en total?,En total hay 118 canicas
Gustavo tiene 93 balones de basquet y Pablo tiene 27 balones de tenis ¿Cuantos balones hay en total?,En total hay 120 balones
un obrero tiene 59 carteras y le entregan 51 carteras ¿Cuantos tienen entre los dos?,Entre los dos tienen 110 carteras
Francisco tiene 72 coco y Lorena tiene 97 uvas ¿Cuantos frutas hay en total?,En total hay 169 frutas
hay 14 tortillas en una mesa y se comen 96 ¿Cuantos tortillas quedan?,Quedan 82 tortillas
hay 78 pajaros en un arbol y se van volando 87 ¿Cuantos pajaros quedan?,Quedan 9 pajaros
programador tiene 69 canicas y le extraen 69 canicas ¿Cuantos le queda?,Le queda 0 canicas
un obrero tiene 97 carteras y con una diferencia 54 carteras ¿Cuantos tiene al final?,Al final tiene 43 carteras
perro tiene 70 carteras y le dan 20 carteras ¿Cuantos hay en total?,En total hay 90 carteras
un perro tiene 35 piedras y le quitan 7 piedras ¿Cuantos tiene al final?,Al final tiene 28 piedras
paloma tiene 94 piedras y le extraen 58 piedras ¿Cuantos tiene al final?,Al final tiene 36 piedras
Cesar tiene 7 platano y Ana tiene 46 peras ¿Cuantos frutas hay en total?,En total hay 53 frutas
un mecanico tiene 89 pajaros y añade 32 pajaros ¿Cuantos tienen entre los dos?,Entre los dos tienen 121 pajaros
hay 4 pajaros en un arbol y se van volando 72 ¿Cuantos pajaros quedan?,Quedan 68 pajaros
un profesor tiene 40 canicas y suma 39 canicas ¿Cuantos hay al final ?,Al final hay 79 canicas
hay 76 tortillas en una mesa y se comen 62 ¿Cuantos tortillas quedan?,Quedan 14 tortillas
un policia tiene 85 sillas y le quitan 37 sillas ¿Cuantos le queda?,Le queda 48 sillas
Francisco tiene 48 balones de futbol y Ana tiene 100 balones de futbol ¿Cuantos balones hay en total?,En total hay 148 balones
hay 77 tortillas en una mesa y se comen 67 ¿Cuantos tortillas quedan?,Quedan 10 tortillas
Lucas tiene 19 balones de futbol y Celeste tiene 43 balones de voley ¿Cuantos balones hay en total?,En total hay 62 balones
Roberto tiene 22 balones de basquet y Julio tiene 28 balones de tenis ¿Cuantos balones hay en total?,En total hay 50 balones
hay 99 pajaros en un arbol y se van volando 61 ¿Cuantos pajaros quedan?,Quedan 38 pajaros
Julio tiene 40 melocotones y Ana tiene 18 papayas ¿Cuantos frutas hay en total?,En total hay 58 frutas
piloto tiene 79 pajaros y suma 91 pajaros ¿Cuantos hay al final ?,Al final hay 170 pajaros
Enrique tiene 43 relojes y excluye 21 relojes ¿Cuantos tiene al final?,Al final tiene 22 relojes
hay 19 tortillas en una mesa y se comen 80 ¿Cuantos tortillas quedan?,Quedan 61 tortillas
hay 77 niños en clase y se van 18 ¿Cuantos niños quedan?,Quedan 59 niños
jose tiene 86 balones y le quitan 10 balones ¿Cuantos le queda?,Le queda 76 balones
medico tiene 86 frutas y le extraen 80 frutas ¿Cuanto queda?,Queda 6 frutas
ingeniero tiene 79 moviles y incluye 53 moviles ¿Cuantos hay al final ?,Al final hay 132 moviles
hay 99 pajaros en un arbol y se van volando 56 ¿Cuantos pajaros quedan?,Quedan 43 pajaros
hay 73 tortillas en una mesa y se comen 59 ¿Cuantos tortillas quedan?,Quedan 14 tortillas
una actriz tiene 82 unidades y le extraen 35 unidades ¿Cuanto queda?,Queda 47 unidades
hay 81 niños en clase y se van 27 ¿Cuantos niños quedan?,Quedan 54 niños
un mecanico tiene 38 unidades y suma 27 unidades ¿Cuantos hay en total?,En total hay 65 unidades
Lucas tiene 63 coco y Julio tiene 100 ciruela ¿Cuantos frutas hay en total?,En total hay 163 frutas
perro tiene 64 teles y resta 4 teles ¿Cuanto queda?,Queda 60 teles
Gustavo tiene 8 peras y Julio tiene 62 melocotones ¿Cuantos frutas hay en total?,En total hay 70 frutas
hay 71 pajaros en un arbol y se van volando 98 ¿Cuantos pajaros quedan?,Quedan 27 pajaros
Un carpitero tiene 56 piedras y resta 15 piedras ¿Cuantos tiene al final?,Al final tiene 41 piedras
hay 51 tortillas en una mesa y se comen 58 ¿Cuantos tortillas quedan?,Quedan 7 tortillas
Gustavo tiene 64 balones de voley y Roberto tiene 23 balones de voley ¿Cuantos balones hay en total?,En total hay 87 balones
Enrique tiene 89 teles y añade 64 teles ¿Cuantos hay en total?,En total hay 153 teles
Pedro tiene 54 coco y Federico tiene 27 coco ¿Cuantos frutas hay en total?,En total hay 81 frutas
pablito  tiene 42 balones y le quitan 33 balones ¿Cuantos le queda?,Le queda 9 balones
hay 2 niños en clase y se van 90 ¿Cuantos niños quedan?,Quedan 88 niños
una actriz tiene 54 frutas y suma 15 frutas ¿Cuantos hay al final ?,Al final hay 69 frutas
Pablo tiene 41 ciruela y Ana tiene 16 peras ¿Cuantos frutas hay en total?,En total hay 57 frutas
Gustavo tiene 53 balones de tenis y Lorena tiene 57 balones de tenis ¿Cuantos balones hay en total?,En total hay 110 balones
hay 67 niños en clase y se van 43 ¿Cuantos niños quedan?,Quedan 24 niños
hay 2 pajaros en un arbol y se van volando 15 ¿Cuantos pajaros quedan?,Quedan 13 pajaros
hay 30 tortillas en una mesa y se comen 41 ¿Cuantos tortillas quedan?,Quedan 11 tortillas
un mecanico tiene 51 canicas y le extraen 50 canicas ¿Cuantos tiene al final?,Al final tiene 1 canicas
un mecanico tiene 49 relojes y añade 12 relojes ¿Cuantos hay en total?,En total hay 61 relojes
perro tiene 67 balones y le extraen 49 balones ¿Cuantos tiene al final?,Al final tiene 18 balones
Enrique tiene 95 frutas y resta 49 frutas ¿Cuanto queda?,Queda 46 frutas
Enrique tiene 73 pajaros y añade 36 pajaros ¿Cuantos hay al final ?,Al final hay 109 pajaros
hay 53 tortillas en una mesa y se comen 6 ¿Cuantos tortillas quedan?,Quedan 47 tortillas
Pablo tiene 98 coco y Gustavo tiene 88 melocotones ¿Cuantos frutas hay en total?,En total hay 186 frutas
Ana tiene 49 balones de rugby y Lorena tiene 85 balones de tenis ¿Cuantos balones hay en total?,En total hay 134 balones
hay 1 tortillas en una mesa y se comen 70 ¿Cuantos tortillas quedan?,Quedan 69 tortillas
profesor tiene 9 carteras y le entregan 70 carteras ¿Cuantos hay al final ?,Al final hay 79 carteras
un policia tiene 11 piedras y le extraen 8 piedras ¿Cuantos tiene al final?,Al final tiene 3 piedras
hay 85 pajaros en un arbol y se van volando 72 ¿Cuantos pajaros quedan?,Quedan 13 pajaros
un policia tiene 30 moviles y suma 48 moviles ¿Cuantos hay al final ?,Al final hay 78 moviles
hay 37 tortillas en una mesa y se comen 13 ¿Cuantos tortillas quedan?,Quedan 24 tortillas
perro tiene 78 canicas y excluye 38 canicas ¿Cuanto queda?,Queda 40 canicas
paloma tiene 80 teles y le quitan 46 teles ¿Cuantos tiene al final?,Al final tiene 34 teles
hay 24 niños en clase y se van 41 ¿Cuantos niños quedan?,Quedan 17 niños
hay 98 pajaros en un arbol y se van volando 53 ¿Cuantos pajaros quedan?,Quedan 45 pajaros
hay 58 tortillas en una mesa y se comen 43 ¿Cuantos tortillas quedan?,Quedan 15 tortillas
Ana tiene 97 sandias y Celeste tiene 4 coco ¿Cuantos frutas hay en total?,En total hay 101 frutas
un obrero tiene 70 frutas y le extraen 11 frutas ¿Cuantos tiene al final?,Al final tiene 59 frutas
hay 85 tortillas en una mesa y se comen 47 ¿Cuantos tortillas quedan?,Quedan 38 tortillas
Celeste tiene 12 balones de rugby y Lucas tiene 18 balones de tenis ¿Cuantos balones hay en total?,En total hay 30 balones
un bombero tiene 46 unidades y excluye 34 unidades ¿Cuanto queda?,Queda 12 unidades
hay 14 niños en clase y se van 43 ¿Cuantos niños quedan?,Quedan 29 niños
un cirujano tiene 88 teles y incluye 29 teles ¿Cuantos tienen entre los dos?,Entre los dos tienen 117 teles
ingeniero tiene 92 lapices y con una diferencia 89 lapices ¿Cuantos le queda?,Le queda 3 lapices
Una azafata tiene 60 sillas y suma 32 sillas ¿Cuantos hay al final ?,Al final hay 92 sillas
Pedro tiene 17 balones de futbol y Juan tiene 86 balones de rugby ¿Cuantos balones hay en total?,En total hay 103 balones
hay 81 niños en clase y se van 17 ¿Cuantos niños quedan?,Quedan 64 niños
Julio tiene 29 balones de futbol y Ana tiene 2 balones de rugby ¿Cuantos balones hay en total?,En total hay 31 balones
Roberto tiene 60 balones de tenis y Pedro tiene 29 balones de voley ¿Cuantos balones hay en total?,En total hay 89 balones
hay 22 tortillas en una mesa y se comen 82 ¿Cuantos tortillas quedan?,Quedan 60 tortillas
un bombero tiene 75 relojes y incluye 69 relojes ¿Cuantos hay al final ?,Al final hay 144 relojes
Cesar tiene 34 peras y Juan tiene 3 sandias ¿Cuantos frutas hay en total?,En total hay 37 frutas
un obrero tiene 42 coches y incluye 73 coches ¿Cuantos hay en total?,En total hay 115 coches
hay 40 niños en clase y se van 74 ¿Cuantos niños quedan?,Quedan 34 niños
Roberto tiene 65 toronjas y Pedro tiene 31 coco ¿Cuantos frutas hay en total?,En total hay 96 frutas
Cesar tiene 85 sandias y Francisco tiene 20 papayas ¿Cuantos frutas hay en total?,En total hay 105 frutas
hay 59 tortillas en una mesa y se comen 90 ¿Cuantos tortillas quedan?,Quedan 31 tortillas
un perro tiene 99 carteras y resta 60 carteras ¿Cuantos tiene al final?,Al final tiene 39 carteras
hay 80 tortillas en una mesa y se comen 1 ¿Cuantos tortillas quedan?,Quedan 79 tortillas
un albañil tiene 38 frutas y resta 34 frutas ¿Cuanto queda?,Queda 4 frutas
ingeniero tiene 55 piedras y le dan 1 piedras ¿Cuantos hay en total?,En total hay 56 piedras
ingeniero tiene 98 relojes y le extraen 81 relojes ¿Cuantos tiene al final?,Al final tiene 17 relojes
hay 31 tortillas en una mesa y se comen 98 ¿Cuantos tortillas quedan?,Quedan 67 tortillas
perro tiene 62 canicas y le entregan 66 canicas ¿Cuantos tienen entre los dos?,Entre los dos tienen 128 canicas
paloma tiene 10 mesas y suma 99 mesas ¿Cuantos hay en total?,En total hay 109 mesas
perro tiene 55 balones y suma 33 balones ¿Cuantos tienen entre los dos?,Entre los dos tienen 88 balones
un obrero tiene 36 teles y suma 17 teles ¿Cuantos hay al final ?,Al final hay 53 teles
programador tiene 65 canicas y le extraen 28 canicas ¿Cuantos tiene al final?,Al final tiene 37 canicas
un camarero tiene 52 sillas y suma 98 sillas ¿Cuantos tienen entre los dos?,Entre los dos tienen 150 sillas
hay 47 niños en clase y se van 29 ¿Cuantos niños quedan?,Quedan 18 niños
Lucas tiene 96 balones de futbol y Lorena tiene 65 balones de voley ¿Cuantos balones hay en total?,En total hay 161 balones
un bombero tiene 64 moviles y le extraen 56 moviles ¿Cuantos tiene al final?,Al final tiene 8 moviles
Pablo tiene 61 balones de futbol y Lorena tiene 32 balones de futbol ¿Cuantos balones hay en total?,En total hay 93 balones
Un carpitero tiene 91 pajaros y excluye 47 pajaros ¿Cuanto queda?,Queda 44 pajaros
un cirujano tiene 12 sillas y suma 85 sillas ¿Cuantos hay al final ?,Al final hay 97 sillas
hay 22 tortillas en una mesa y se comen 84 ¿Cuantos tortillas quedan?,Quedan 62 tortillas
piloto tiene 33 sillas y le extraen 21 sillas ¿Cuantos le queda?,Le queda 12 sillas
hay 30 tortillas en una mesa y se comen 83 ¿Cuantos tortillas quedan?,Quedan 53 tortillas
hay 34 pajaros en un arbol y se van volando 19 ¿Cuantos pajaros quedan?,Quedan 15 pajaros
Juan tiene 30 platano y Lucas tiene 32 melocotones ¿Cuantos frutas hay en total?,En total hay 62 frutas
un mecanico tiene 37 carteras y le entregan 30 carteras ¿Cuantos tienen entre los dos?,Entre los dos tienen 67 carteras
Celeste tiene 94 peras y Ana tiene 41 manzanas ¿Cuantos frutas hay en total?,En total hay 135 frutas
un policia tiene 53 animales y le quitan 16 animales ¿Cuantos le queda?,Le queda 37 animales
Lucas tiene 30 papayas y Federico tiene 91 ciruela ¿Cuantos frutas hay en total?,En total hay 121 frutas
medico tiene 7 frutas y incluye 33 frutas ¿Cuantos tienen entre los dos?,Entre los dos tienen 40 frutas
un albañil tiene 99 pajaros y le extraen 10 pajaros ¿Cuanto queda?,Queda 89 pajaros
un policia tiene 55 pajaros y le dan 75 pajaros ¿Cuantos tienen entre los dos?,Entre los dos tienen 130 pajaros
Cesar tiene 29 balones de basquet y Lucas tiene 19 balones de basquet ¿Cuantos balones hay en total?,En total hay 48 balones
un mecanico tiene 59 carteras y le extraen 21 carteras ¿Cuantos tiene al final?,Al final tiene 38 carteras
Enrique tiene 73 moviles y le dan 29 moviles ¿Cuantos tienen entre los dos?,Entre los dos tienen 102 moviles
paloma tiene 63 sillas y le quitan 11 sillas ¿Cuantos le queda?,Le queda 52 sillas
paloma tiene 9 pajaros y añade 29 pajaros ¿Cuantos tienen entre los dos?,Entre los dos tienen 38 pajaros
hay 6 pajaros en un arbol y se van volando 14 ¿Cuantos pajaros quedan?,Quedan 8 pajaros
hay 9 tortillas en una mesa y se comen 35 ¿Cuantos tortillas quedan?,Quedan 26 tortillas
Lorena tiene 6 papayas y Lucas tiene 8 peras ¿Cuantos frutas hay en total?,En total hay 14 frutas
Lorena tiene 41 toronjas y Julio tiene 92 papayas ¿Cuantos frutas hay en total?,En total hay 133 frutas
medico tiene 99 mesas y resta 23 mesas ¿Cuantos le queda?,Le queda 76 mesas
Cesar tiene 78 papayas y Julio tiene 56 platano ¿Cuantos frutas hay en total?,En total hay 134 frutas
hay 31 tortillas en una mesa y se comen 76 ¿Cuantos tortillas quedan?,Quedan 45 tortillas
Lucas tiene 70 melocotones y Pablo tiene 91 ciruela ¿Cuantos frutas hay en total?,En total hay 161 frutas
un perro tiene 62 relojes y suma 47 relojes ¿Cuantos hay al final ?,Al final hay 109 relojes
hay 95 tortillas en una mesa y se comen 84 ¿Cuantos tortillas quedan?,Quedan 11 tortillas
fontanero tiene 80 coches y le entregan 86 coches ¿Cuantos hay al final ?,Al final hay 166 coches
un camarero tiene 1 relojes y suma 46 relojes ¿Cuantos hay al final ?,Al final hay 47 relojes
Cesar tiene 72 platano y Pablo tiene 67 peras ¿Cuantos frutas hay en total?,En total hay 139 frutas
Cesar tiene 98 balones de basquet y Lorena tiene 66 balones de voley ¿Cuantos balones hay en total?,En total hay 164 balones
fontanero tiene 43 mesas y le quitan 30 mesas ¿Cuantos tiene al final?,Al final tiene 13 mesas
Francisco tiene 19 manzanas y Pedro tiene 94 papayas ¿Cuantos frutas hay en total?,En total hay 113 frutas
Cesar tiene 54 balones de voley y Lucas tiene 2 balones de tenis ¿Cuantos balones hay en total?,En total hay 56 balones
